X,Y,Z,Red,Green,Blue
412440.46094,4265862.92775,2172.63293,56,42,41
412440.21477,4265862.77078,2172.49746,109,82,71
412442.20829,4265863.25730,2172.69054,36,26,24
412442.96463,4265862.96549,2172.79190,106,70,54
412443.31514,4265862.99355,2172.76598,26,24,29
412443.32370,4265863.00639,2172.68512,97,68,50
412443.43631,4265863.00476,2172.64303,104,69,50
412441.57486,4265863.28242,2172.28843,183,184,186
412442.28378,4265863.37302,2172.39410,44,36,34
412440.75672,4265863.20995,2171.82498,175,183,186
412444.55371,4265862.97848,2172.17987,85,57,46
412440.74976,4265863.28912,2171.64342,174,182,184
412441.05146,4265863.13818,2171.33233,214,219,215
412440.75106,4265863.13223,2171.23730,128,107,86
412443.71561,4265863.37895,2171.45155,182,188,188
412441.88547,4265863.18609,2171.28216,143,121,110
412445.38178,4265863.49663,2171.27311,155,138,112
412439.73843,4265863.13637,2170.91688,97,100,93
412447.76993,4265864.07833,2171.30921,96,99,106
412447.36920,4265863.75194,2171.26383,23,13,12
412440.25478,4265863.18491,2170.78463,89,93,92
412439.68161,4265863.07386,2170.73309,93,91,76
412444.10063,4265863.34016,2170.76926,130,117,98
412444.72507,4265863.55204,2170.64252,36,38,37
412444.18733,4265863.39997,2170.59846,139,127,105
412440.16648,4265863.10102,2170.36381,197,199,188
412446.33088,4265863.61412,2170.04677,182,182,182
412443.71653,4265863.41519,2170.08629,195,203,205
412445.65592,4265863.48881,2169.65707,140,126,115
412444.45888,4265863.39032,2169.71745,36,28,25
412443.27780,4265863.32606,2169.70271,40,29,25
412443.20371,4265863.33510,2169.66251,139,119,108
412446.27165,4265863.55293,2169.38525,66,55,53
412445.20400,4265863.47641,2169.45410,61,46,41
412445.19446,4265863.46784,2169.45472,55,41,32
412442.79356,4265863.28256,2169.65446,166,152,141
412446.43217,4265863.56363,2169.29816,25,19,19
412443.63578,4265863.36721,2169.50991,161,153,142
412442.75536,4265863.29283,2169.58964,54,43,39
412441.98760,4265863.17220,2169.63351,150,130,119
412441.63999,4265863.15687,2169.64711,210,198,184
412445.38504,4265863.48946,2169.13238,69,60,55
412444.33678,4265863.40000,2169.30888,61,44,37
412445.29138,4265863.47741,2169.18366,163,153,141
412442.94577,4265863.31200,2169.42096,54,45,36
412446.11359,4265863.57076,2169.04521,154,141,124
412442.78388,4265863.30822,2169.39980,67,58,51
412445.66045,4265863.52171,2168.95873,63,41,28
412442.99469,4265863.32720,2169.28674,61,51,42
412443.91804,4265863.35273,2169.15272,52,35,25
412445.21791,4265863.28656,2168.95652,156,142,133
412442.80702,4265863.29659,2169.24877,150,145,139
412440.25834,4265863.09910,2169.57866,130,105,85
412439.81406,4265863.02559,2169.62168,51,46,43
412443.72518,4265863.36367,2169.05436,56,39,32
412443.19167,4265863.33184,2169.10860,56,45,39
412440.83008,4265863.15900,2169.43861,190,191,186
412441.44420,4265862.97719,2169.37689,37,22,15
412440.33035,4265863.07653,2169.51100,152,150,138
412440.95577,4265863.17752,2169.40868,175,176,170
412443.74724,4265863.36137,2168.94140,52,36,23
412443.71222,4265863.10144,2168.96715,118,107,101
412440.04479,4265862.99708,2169.49497,167,164,155
412442.84874,4265863.30607,2169.03843,62,47,40
412443.55426,4265863.36078,2168.93910,49,29,18
412441.40851,4265862.97859,2169.22543,137,141,140
412440.88781,4265863.16372,2169.26927,171,157,146
412441.21581,4265863.19422,2169.19357,55,40,33
412439.46502,4265862.84230,2169.51425,100,86,75
412441.07119,4265863.20221,2169.18027,61,43,41
412441.09075,4265863.19219,2169.13950,199,193,181
412439.97222,4265862.96312,2169.35438,48,39,34
412441.46107,4265862.96953,2169.06974,62,37,30
412443.23514,4265861.33932,2168.96524,58,49,40
412441.62458,4265862.96376,2168.97022,89,82,72
412439.86600,4265862.90497,2169.28667,95,65,54
412440.02297,4265862.33572,2169.33200,124,104,79
412441.60251,4265862.96472,2168.92052,161,149,135
412439.82612,4265862.56440,2169.21394,156,149,141
412441.79584,4265860.88041,2168.92343,138,134,123
412440.08084,4265862.31038,2168.93713,54,56,55
412439.84811,4265862.33742,2168.93856,141,143,140
412440.30563,4265861.32579,2168.87146,131,130,125
412440.01174,4265861.01209,2168.98414,100,98,99
412439.62974,4265861.94736,2168.88422,115,116,111
412440.17348,4265861.49752,2168.82587,132,133,128
412439.26187,4265862.02950,2168.88553,121,120,118
412439.91419,4265861.35379,2168.84398,160,164,163
412439.46120,4265861.66826,2168.89082,145,142,137
412439.63250,4265861.22235,2168.86385,173,175,172
412439.57586,4265861.32346,2168.84141,170,172,167
412439.24044,4265861.30726,2168.85103,127,122,118
412439.46489,4265860.70053,2168.90411,98,93,89
412439.36112,4265860.80942,2168.87246,114,110,109
412439.00526,4265861.08344,2168.81806,83,87,90
412439.12690,4265861.07241,2168.77953,140,144,143
412439.30662,4265860.90886,2168.74868,134,134,126
412438.76523,4265861.32436,2168.81602,84,83,88
412439.00337,4265861.04946,2168.80529,124,130,130
412439.00012,4265861.08811,2168.79068,107,112,115
412438.95424,4265861.00044,2168.81381,54,59,63
412439.22672,4265860.35475,2168.87802,103,104,86
412439.07107,4265860.82670,2168.77682,113,112,110
412438.78942,4265861.01769,2168.77102,112,116,115
412438.96181,4265860.48577,2168.87068,22,25,16
412439.13398,4265860.00482,2168.95482,69,66,47
412438.83023,4265860.51519,2168.90128,26,27,22
412438.67221,4265861.00530,2168.79639,118,120,119
412439.09243,4265860.14781,2168.89780,81,78,61
412442.06032,4265862.89233,2173.17140,42,41,47
412440.38011,4265862.77814,2172.54997,81,58,50
412441.70545,4265863.26408,2172.32794,204,206,205
412440.69325,4265863.22983,2171.89454,200,209,206
412440.45577,4265863.18582,2171.84110,179,188,185
412440.33742,4265863.17781,2171.81665,171,177,175
412440.55434,4265863.22954,2171.84059,193,199,197
412440.05483,4265863.14508,2171.70817,170,176,174
412440.69829,4265863.20427,2171.81084,143,148,151
412442.83856,4265863.33906,2172.02543,199,208,207
412439.95167,4265863.13185,2171.44220,196,205,204
412440.29640,4265863.23315,2171.42648,184,190,188
412440.56269,4265863.19627,2171.40789,163,169,165
412440.00631,4265863.09739,2171.29461,66,56,44
412440.78800,4265863.14614,2171.29734,117,96,75
412443.87360,4265863.43401,2171.47096,181,190,189
412446.59698,4265863.65246,2171.59582,35,11,7
412444.23969,4265863.46490,2171.41803,194,200,196
412444.69648,4265863.48385,2171.40948,198,194,191
412443.42783,4265863.40514,2171.20478,178,187,184
412439.88149,4265863.20612,2170.90308,175,184,183
412441.74985,4265863.24361,2170.96273,195,204,199
412441.76053,4265863.25350,2170.96341,195,204,199
412445.24465,4265863.54804,2171.09227,78,79,81
412439.62564,4265863.01458,2170.82511,167,164,119
412440.86676,4265863.22653,2170.83518,25,28,35
412439.68489,4265863.10897,2170.77373,148,146,98
412439.59972,4265863.04164,2170.73483,59,56,41
412444.23896,4265863.42491,2170.70583,125,117,98
412440.67973,4265863.35523,2170.63571,29,36,42
412443.71973,4265863.42169,2170.67224,180,189,188
412446.57194,4265863.62929,2170.60031,169,171,168
412439.56308,4265863.06460,2170.56255,181,185,186
412439.56358,4265863.06729,2170.56259,181,185,186
412439.93902,4265863.12496,2170.54295,160,166,162
412446.28532,4265862.64762,2170.52993,110,95,76
412439.52828,4265863.07282,2170.52063,52,56,57
412439.65569,4265863.07014,2170.41340,173,179,179
412443.76856,4265863.51144,2170.33067,180,188,190
412440.08569,4265863.05470,2170.39502,97,76,59
412439.70376,4265863.08848,2170.38530,67,71,72
412443.80510,4265863.46291,2170.22424,197,207,208
412446.47311,4265863.62707,2170.10030,80,82,81
412440.18276,4265863.16730,2170.13061,185,191,187
