"X","Y","Z","Red","Green","Blue"
412351.27,4265831.13,2173.47,0,0,0
412350.82,4265831.37,2173.44,0,0,0
412350.92,4265832.41,2173.42,0,0,0
412349.77,4265831.84,2173.48,0,0,0
412348.63,4265831.27,2173.51,0,0,0
412348.86,4265831.83,2173.44,0,0,0
412350.03,4265832.41,2173.44,0,0,0
412351.18,4265832.98,2173.40,0,0,0
412351.34,4265833.99,2173.40,0,0,0
412350.17,4265833.42,2173.40,0,0,0
412349.01,4265832.84,2173.44,0,0,0
412348.98,4265833.32,2173.42,0,0,0
412350.15,4265833.88,2173.40,0,0,0
412351.31,4265834.46,2173.38,0,0,0
412351.52,4265835.52,2173.34,0,0,0
412350.37,4265834.96,2173.38,0,0,0
412349.22,4265834.38,2173.42,0,0,0
412348.08,4265833.83,2173.46,0,0,0
412348.88,4265834.71,2173.42,0,0,0
412350.04,4265835.29,2173.36,0,0,0
412351.20,4265835.86,2173.32,0,0,0
412351.60,4265836.96,2173.60,0,0,0
412350.41,4265836.40,2173.42,0,0,0
412349.25,4265835.82,2173.50,0,0,0
412348.09,4265835.25,2173.48,0,0,0
412348.79,4265836.12,2173.59,0,0,0
412351.63,4265838.49,2173.44,0,0,0
412351.43,4265839.95,2173.42,0,0,0
412350.22,4265839.90,2173.49,0,0,0
412350.93,4265841.17,2173.42,0,0,0
412349.78,4265840.62,2173.44,0,0,0
412349.52,4265841.08,2173.42,0,0,0
412350.66,4265841.63,2173.42,0,0,0
412351.58,4265843.12,2173.38,0,0,0
412350.43,4265842.55,2173.38,0,0,0
412349.26,4265841.99,2173.40,0,0,0
412348.11,4265841.42,2173.44,0,0,0
412348.73,4265842.33,2173.40,0,0,0
412349.86,4265842.88,2173.38,0,0,0
412351.01,4265843.45,2173.35,0,0,0
412351.12,4265844.52,2173.36,0,0,0
412349.96,4265843.95,2173.36,0,0,0
412348.81,4265843.38,2173.38,0,0,0
412348.06,4265843.65,2173.38,0,0,0
412349.22,4265844.21,2173.36,0,0,0
412350.39,4265844.78,2173.36,0,0,0
412351.55,4265845.34,2173.36,0,0,0
412350.63,4265845.86,2173.35,0,0,0
412349.50,4265845.31,2173.36,0,0,0
412348.35,4265844.75,2173.36,0,0,0
412348.57,4265845.44,2173.35,0,0,0
412349.71,4265846.00,2173.35,0,0,0
412350.87,4265846.56,2173.38,0,0,0
412351.39,4265847.84,2173.38,0,0,0
412350.23,4265847.28,2173.38,0,0,0
412349.07,4265846.71,2173.36,0,0,0
412348.99,4265847.31,2173.36,0,0,0
412350.16,4265847.87,2173.38,0,0,0
412351.33,4265848.44,2173.40,0,0,0
412350.88,4265849.13,2173.40,0,0,0
412349.73,4265848.57,2173.40,0,0,0
412348.55,4265848.00,2173.38,0,0,0
412348.21,4265848.45,2173.38,0,0,0
412349.38,4265849.00,2173.40,0,0,0
412350.54,4265849.58,2173.42,0,0,0
412351.36,4265851.03,2173.48,0,0,0
412350.21,4265850.48,2173.46,0,0,0
412349.04,4265849.92,2173.40,0,0,0
412348.31,4265850.13,2173.40,0,0,0
412349.49,4265850.71,2173.46,0,0,0
412350.66,4265851.28,2173.49,0,0,0
412351.65,4265852.96,2173.53,0,0,0
412350.50,4265852.42,2173.53,0,0,0
412349.33,4265851.86,2173.50,0,0,0
412348.17,4265851.30,2173.48,0,0,0
412348.38,4265852.03,2173.50,0,0,0
412349.55,4265852.59,2173.51,0,0,0
412350.70,4265853.15,2173.54,0,0,0
412350.73,4265854.25,2173.59,0,0,0
412349.58,4265853.71,2173.58,0,0,0
412348.43,4265853.15,2173.56,0,0,0
412348.47,4265853.87,2173.58,0,0,0
412349.63,4265854.42,2173.60,0,0,0
412350.79,4265855.00,2173.59,0,0,0
412351.07,4265856.15,2173.63,0,0,0
412349.92,4265855.59,2173.65,0,0,0
412349.81,4265859.70,2176.65,0,0,0
412350.96,4265860.25,2176.58,0,0,0
412350.84,4265861.50,2176.98,0,0,0
412349.68,4265860.95,2177.00,0,0,0
412348.54,4265860.40,2177.04,0,0,0
412348.79,4265861.19,2177.22,0,0,0
412349.95,4265861.75,2177.17,0,0,0
412351.11,4265862.32,2177.15,0,0,0
412351.07,4265863.59,2177.52,0,0,0
412349.91,4265863.03,2177.55,0,0,0
412348.75,4265862.46,2177.60,0,0,0
412348.91,4265863.24,2177.77,0,0,0
412350.06,4265863.79,2177.74,0,0,0
412351.21,4265864.34,2177.71,0,0,0
412349.30,4265864.79,2178.17,0,0,0
412351.44,4265866.50,2178.23,0,0,0
412351.49,4265867.96,2177.88,0,0,0
412350.33,4265867.42,2177.84,0,0,0
412349.19,4265866.87,2177.79,0,0,0
412349.21,4265867.65,2177.57,0,0,0
412350.38,4265868.21,2177.58,0,0,0
412351.56,4265868.77,2177.65,0,0,0
412351.21,4265869.98,2177.29,0,0,0
412350.05,4265869.42,2177.24,0,0,0
412348.86,4265868.86,2177.19,0,0,0
412349.44,4265869.92,2176.97,0,0,0
412350.59,4265870.46,2177.01,0,0,0
412351.38,4265875.34,2173.69,0,0,0
412350.90,4265876.48,2173.61,0,0,0
412349.76,4265875.92,2173.65,0,0,0
412348.60,4265876.17,2173.61,0,0,0
412349.75,4265876.73,2173.57,0,0,0
412350.90,4265877.28,2173.56,0,0,0
412350.79,4265878.55,2173.44,0,0,0
412349.65,4265878.00,2173.48,0,0,0
412348.48,4265877.44,2173.51,0,0,0
412348.41,4265878.13,2173.44,0,0,0
412349.58,4265878.71,2173.40,0,0,0
412350.74,4265879.27,2173.35,0,0,0
412350.99,4265880.71,2173.26,0,0,0
412349.84,4265880.16,2173.30,0,0,0
412348.69,4265879.61,2173.34,0,0,0
412349.51,4265880.65,2173.26,0,0,0
412350.68,4265881.21,2173.22,0,0,0
412351.34,4265882.74,2173.15,0,0,0
412350.19,4265882.19,2173.17,0,0,0
412349.02,4265881.63,2173.19,0,0,0
412348.69,4265882.16,2173.17,0,0,0
412349.87,4265882.71,2173.15,0,0,0
412351.04,4265883.29,2173.13,0,0,0
412350.60,4265884.36,2173.11,0,0,0
412349.44,4265883.80,2173.13,0,0,0
412348.76,4265884.09,2173.13,0,0,0
412349.92,4265884.66,2173.11,0,0,0
412351.06,4265885.21,2173.07,0,0,0
412350.77,4265890.54,2172.94,0,0,0
412350.60,4265891.63,2172.96,0,0,0
412349.43,4265891.07,2172.97,0,0,0
412349.16,4265891.63,2172.97,0,0,0
412350.31,4265892.19,2172.92,0,0,0
412351.48,4265892.75,2172.90,0,0,0
412350.62,4265893.50,2172.97,0,0,0
412349.46,4265892.96,2172.97,0,0,0
412349.04,4265893.30,2172.98,0,0,0
412350.22,4265893.86,2172.94,0,0,0
412351.38,4265894.42,2172.97,0,0,0
412350.72,4265895.32,2172.96,0,0,0
412349.56,4265894.77,2172.98,0,0,0
412349.10,4265895.08,2173.07,0,0,0
412350.25,4265895.63,2172.97,0,0,0
412351.42,4265896.20,2172.98,0,0,0
412351.18,4265897.28,2173.08,0,0,0
412349.99,4265896.71,2172.98,0,0,0
412348.82,4265896.16,2172.99,0,0,0
412349.13,4265896.84,2172.98,0,0,0
412350.30,4265897.42,2173.02,0,0,0
412351.45,4265897.98,2172.94,0,0,0
412351.27,4265899.00,2172.96,0,0,0
412350.12,4265898.44,2173.01,0,0,0
412348.95,4265897.88,2173.00,0,0,0
412348.98,4265898.50,2173.01,0,0,0
412350.14,4265899.06,2173.03,0,0,0
412351.30,4265899.62,2173.03,0,0,0
412351.00,4265900.66,2172.98,0,0,0
412349.86,4265900.11,2173.00,0,0,0
412348.69,4265899.54,2173.03,0,0,0
412349.58,4265900.42,2173.00,0,0,0
412350.73,4265900.99,2172.98,0,0,0
412350.76,4265902.23,2173.02,0,0,0
412349.61,4265901.67,2173.03,0,0,0
412349.04,4265901.90,2173.17,0,0,0
412350.18,4265902.46,2173.01,0,0,0
412351.31,4265903.02,2172.94,0,0,0
412351.55,4265904.23,2172.90,0,0,0
412350.40,4265903.67,2172.94,0,0,0
412349.24,4265903.11,2173.00,0,0,0
412349.71,4265903.86,2172.98,0,0,0
412350.88,4265904.42,2173.02,0,0,0
412351.62,4265905.86,2172.90,0,0,0
412350.49,4265905.31,2172.92,0,0,0
412349.38,4265904.75,2173.06,0,0,0
412349.15,4265905.15,2173.07,0,0,0
412350.27,4265905.70,2172.98,0,0,0
412351.41,4265906.25,2172.90,0,0,0
412350.74,4265907.06,2172.94,0,0,0
412349.59,4265906.50,2173.00,0,0,0
412349.37,4265906.86,2172.96,0,0,0
412350.52,4265907.42,2172.94,0,0,0
412350.90,4265908.70,2172.92,0,0,0
412349.78,4265908.15,2173.05,0,0,0
412349.15,4265908.37,2173.06,0,0,0
412350.29,4265908.94,2172.97,0,0,0
412351.45,4265909.50,2172.90,0,0,0
412350.89,4265910.25,2173.04,0,0,0
412349.72,4265909.67,2172.97,0,0,0
412348.84,4265909.80,2173.10,0,0,0
412349.96,4265910.36,2173.01,0,0,0
412351.14,4265910.92,2173.13,0,0,0
412350.78,4265911.75,2173.22,0,0,0
412349.63,4265911.19,2173.17,0,0,0
412349.62,4265911.73,2173.13,0,0,0
412350.80,4265912.32,2173.10,0,0,0
412350.76,4265913.37,2173.05,0,0,0
412349.59,4265912.80,2173.08,0,0,0
412349.27,4265913.23,2173.02,0,0,0
412350.42,4265913.79,2173.09,0,0,0
412351.56,4265914.36,2172.97,0,0,0
412351.48,4265915.38,2173.08,0,0,0
412350.33,4265914.83,2173.00,0,0,0
412349.18,4265914.27,2172.94,0,0,0
412349.67,4265915.12,2173.03,0,0,0
412350.84,4265915.70,2173.06,0,0,0
412350.76,4265916.80,2172.94,0,0,0
412349.63,4265916.24,2173.01,0,0,0
412349.88,4265917.03,2172.94,0,0,0
412351.03,4265917.59,2172.94,0,0,0
412351.22,4265918.75,2172.94,0,0,0
412350.08,4265918.20,2172.96,0,0,0
412348.92,4265917.63,2172.99,0,0,0
412348.81,4265918.21,2172.97,0,0,0
412349.96,4265918.79,2172.94,0,0,0
412351.12,4265919.37,2172.92,0,0,0
412351.59,4265920.67,2172.96,0,0,0
412350.43,4265920.11,2172.94,0,0,0
412349.29,4265919.54,2172.97,0,0,0
412349.15,4265920.09,2172.99,0,0,0
412350.31,4265920.67,2172.90,0,0,0
412351.47,4265921.24,2172.98,0,0,0
412351.04,4265922.19,2172.90,0,0,0
412349.90,4265921.62,2172.94,0,0,0
412349.25,4265921.83,2173.11,0,0,0
412350.40,4265922.41,2172.94,0,0,0
412351.56,4265922.99,2172.88,0,0,0
412351.10,4265923.92,2172.94,0,0,0
412349.95,4265923.36,2172.92,0,0,0
412349.31,4265923.62,2172.92,0,0,0
412350.47,4265924.19,2172.94,0,0,0
412351.61,4265924.75,2172.88,0,0,0
412350.32,4265925.32,2172.96,0,0,0
412349.17,4265924.75,2172.94,0,0,0
412349.28,4265925.37,2172.96,0,0,0
412350.90,4265831.17,2173.40,0,0,0
412351.04,4265832.34,2173.36,0,0,0
412348.53,4265831.17,2173.42,0,0,0
412349.79,4265831.77,2173.42,0,0,0
412349.15,4265832.04,2173.40,0,0,0
412347.90,4265831.45,2173.42,0,0,0
412350.40,4265832.63,2173.36,0,0,0
412351.64,4265833.21,2173.33,0,0,0
412351.01,4265834.12,2173.34,0,0,0
412349.74,4265833.52,2173.38,0,0,0
412348.51,4265832.95,2173.63,0,0,0
412348.82,4265833.63,2173.38,0,0,0
412350.08,4265834.21,2173.35,0,0,0
412351.32,4265834.81,2173.29,0,0,0
412350.74,4265835.73,2173.34,0,0,0
412349.47,4265835.13,2173.44,0,0,0
412348.21,4265834.55,2173.42,0,0,0
412348.71,4265835.36,2173.42,0,0,0
